OBJECTID;GKZ;ZONE_CODE;COUNT;AREA;MIN;MAX;RANGE;MEAN;STD;SUM
60;56611662;60;3264;2040000,000000000000000;0,027177773416042;9,735145568847656;9,707967795431614;3,568243242215306;1,695015221641508;11646,745942590758000
61;56611666;61;2646;1653750,000000000000000;0,065327212214470;11,454754829406738;11,389427617192268;3,709956445717848;1,580830055417966;9816,544755369424800
62;56611322;62;2638;1648750,000000000000000;0,048953521996737;11,524866104125977;11,475912582129240;4,063893568068687;1,673229619100234;10720,551232565194000
63;5661135;63;1282;801250,000000000000000;0,049453914165497;23,409536361694336;23,360082447528839;7,217140756192938;5,582250683041409;9252,374449439346800
64;56611349;64;1934;1208750,000000000000000;0,022918310016394;15,598651885986328;15,575733575969934;5,016773587660989;2,774000391814979;9702,440118536353100
65;56611651;65;2493;1558125,000000000000000;0,160530045628548;16,934177398681641;16,773647353053093;5,288143994964321;3,043623622281486;13183,342979446054000
66;56611653;66;65;40625,000000000000000;0,286275923252106;7,508095741271973;7,221819818019867;3,137385907081457;2,308338606074271;203,930083960294720
67;56611652;67;6732;4207500,000000000000000;0,139935210347176;16,418399810791016;16,278464600443840;5,234827970312294;2,536961227275586;35240,861896142364000
68;5661119;68;196;122500,000000000000000;0,118603475391865;4,110132217407227;3,991528742015362;1,822938270220647;0,614777268229865;357,295900963246820
69;566116541;69;3746;2341250,000000000000000;0,158212736248970;8,654878616333008;8,496665880084038;4,345782310092793;1,226579110341279;16279,300533607602000
70;5661112;70;284;177500,000000000000000;0,078664362430573;4,898681640625000;4,820017278194428;2,847587837457237;1,088321790730286;808,714945837855340
71;56611311;71;3724;2327500,000000000000000;0,106344915926456;26,869356155395508;26,763011239469051;6,256703564216944;3,521334711098533;23299,964073143899000
72;5661139;72;6373;3983125,000000000000000;0,028647886589170;20,815160751342773;20,786512864753604;5,785236595200851;3,599341984327163;36869,312821215019000
73;5661241;73;3981;2488125,000000000000000;0,034851659089327;12,504253387451172;12,469401728361845;4,249548967217447;2,253498025109463;16917,454438492656000
74;5661242;74;4899;3061875,000000000000000;0,066448256373405;11,958576202392578;11,892127946019173;5,051322577853888;1,915679046874735;24746,429308906198000
75;566116632;75;19152;11970000,000000000000000;0,021817581728101;15,889668464660645;15,867850882932544;3,687893481878739;1,942111071306048;70630,535964941606000
76;5661168;76;9386;5866250,000000000000000;0,037352271378040;14,904651641845703;14,867299370467663;3,958407355153736;2,020111928618765;37153,611435472965000
77;56611668;77;5525;3453125,000000000000000;0,071791365742683;16,757579803466797;16,685788437724113;3,743043684949972;2,325603273059354;20680,316359348595000
78;566115;78;1413;883125,000000000000000;0,034377463161945;18,863075256347656;18,828697793185711;4,116256107390981;2,787692498111473;5816,269879743456800
79;5661171;79;510;318750,000000000000000;0,020658286288381;22,259893417358398;22,239235131070018;6,197838680281797;5,023881530051151;3160,897726943716400
80;56611329;80;2250;1406250,000000000000000;0,008102846331894;11,075166702270508;11,067063855938613;3,900175417159167;1,687891525739773;8775,394688608124900
81;566116639;81;31;19375,000000000000000;0,576251924037933;6,823075294494629;6,246823370456696;3,731804940008348;1,956843931986697;115,685953140258790
82;56611671;82;1818;1136250,000000000000000;0,202610835433006;15,675517082214355;15,472906246781349;4,909803465238237;3,490311456685298;8926,022699803113900
83;566116631;83;11251;7031875,000000000000000;0,197565838694572;14,451704025268555;14,254138186573982;4,257720151628910;1,957047779288791;47903,609425976872000
84;56611667;84;958;598750,000000000000000;0,137748137116432;12,188033103942871;12,050284966826439;4,874049819834795;2,405389331655032;4669,339727401733400
85;56611341;85;7118;4448750,000000000000000;0,057295762002468;20,155834197998047;20,098538435995579;6,042843740665827;2,982820594857548;43012,961746059358000
86;532182;86;2954;1846250,000000000000000;0,040107037872076;8,274423599243164;8,234316561371088;2,532597169990052;1,610862832661071;7481,292040150612600
87;56611661;87;3040;1900000,000000000000000;0,088854581117630;12,264862060546875;12,176007479429245;3,483342029365074;1,827452122873629;10589,359769269824000
88;5661138;88;1949;1218125,000000000000000;0,310083091259003;12,317580223083496;12,007497131824493;6,194322247698468;1,945859903140301;12072,734060764313000
89;5661137;89;1169;730625,000000000000000;0,038221046328545;20,178956985473633;20,140735939145088;6,330724888636553;4,214330619582396;7400,617394816130400
90;56611369;90;1308;817500,000000000000000;0,048785585910082;17,059907913208008;17,011122327297926;5,982203983069492;3,478810904402951;7824,722809854894900
91;56611665;91;2747;1716875,000000000000000;0,062894977629185;13,365496635437012;13,302601657807827;3,781501937043267;1,956390327932721;10387,785821057856000
92;56611679;92;9594;5996250,000000000000000;0,022918310016394;17,950231552124023;17,927313242107630;5,071578545624393;2,818172940559213;48656,724566720426000
93;56611362;93;2851;1781875,000000000000000;0,283017963171005;12,673204421997070;12,390186458826065;4,635394143989235;1,938244503211642;13215,508704513311000
94;56611361;94;5734;3583750,000000000000000;0,020257115364075;19,945962905883789;19,925705790519714;4,326225391699876;2,396882946536244;24806,576396007091000
95;56611669;95;11610;7256250,000000000000000;0,042298093438148;17,827487945556641;17,785189852118492;4,334159252985760;2,789683570880705;50319,588927164674000
96;56611611;96;2812;1757500,000000000000000;0,205706119537354;12,276437759399414;12,070731639862061;3,391885797115597;1,334159274590961;9537,982861489057500
97;56611613;97;907;566875,000000000000000;0,636872470378876;13,318766593933105;12,681894123554230;4,255681078252613;2,608458852330479;3859,902737975120500
98;53218141;98;10335;6459375,000000000000000;0,021817581728101;12,605105400085449;12,583287818357348;3,354660346183654;2,018837975524206;34670,414677808061000
99;56611631;99;2967;1854375,000000000000000;0,371843934059143;18,888490676879883;18,516646742820740;5,643918736377950;3,323981943601475;16745,506890833378000
100;5661111;100;1858;1161250,000000000000000;0,059818528592587;11,575423240661621;11,515604712069035;3,332156692442070;2,448806077457316;6191,147134557366400
101;56611632;101;3178;1986250,000000000000000;0,196900069713593;12,775145530700684;12,578245460987091;3,388012295074250;1,447722988934161;10767,103073745966000
102;56611633;102;1163;726875,000000000000000;0,046193324029446;18,804807662963867;18,758614338934422;6,039751065803671;4,249801534370334;7024,230489529669300
103;5661324;103;5408;3380000,000000000000000;0,025623450055718;15,163898468017578;15,138275017961860;3,976494015255439;2,480043962318827;21504,879634501413000
104;5661251;104;4405;2753125,000000000000000;0,009059257805347;11,128753662109375;11,119694404304028;5,034334743244491;2,139483717096225;22176,244543991983000
105;5661239;105;2291;1431875,000000000000000;0,237793371081352;12,890883445739746;12,653090074658394;5,777152258663758;2,689649910965573;13235,455824598670000
106;5661253;106;4024;2515000,000000000000000;0,081533268094063;11,703920364379883;11,622387096285820;4,474714997546677;2,096297386719481;18006,253150127828000
107;566119;107;9060;5662500,000000000000000;0,012154269963503;21,274303436279297;21,262149166315794;4,303805685860761;2,570475765407850;38992,479513898492000
108;5661273;108;3957;2473125,000000000000000;0,023623654618859;15,362532615661621;15,338908961042762;5,252132917701396;3,093511328593067;20782,689955344424000
109;5661327;109;821;513125,000000000000000;0,212070822715759;19,199588775634766;18,987517952919006;6,721419133636171;3,893406300899485;5518,285108715295800
110;5661269;110;2796;1747500,000000000000000;0,078245937824249;16,607280731201172;16,529034793376923;3,801867122701949;2,290673751421561;10630,020475074649000
111;561442;111;1984;1240000,000000000000000;0,031642626971006;4,418004989624023;4,386362362653017;2,038689587428610;0,624542084281919;4044,760141458362300
