"clc_111";"clc_112";"clc_121";"clc_122";"clc_123";"clc_124";"clc_131";"clc_132";"clc_133";"clc_141";"clc_142";"clc_211";"clc_221";"clc_222";"clc_231";"clc_242";"clc_243";"clc_311";"clc_312";"clc_313";"clc_321";"clc_322";"clc_324";"clc_331";"clc_333";"clc_411";"clc_412";"clc_511";"clc_512";"expression"
"53234135";;0,1678;;;;;;;;;;;;;0,1293;;;;0,7029;;;;;;;;;;;"0.1678 * clc_112 + 0.1293 * clc_231 + 0.7029 * clc_312"
"53234136";;0,001;;;;;;;;;;;;;;;;;0,999;;;;;;;;;;;"0.001 * clc_112 + 0.999 * clc_312"
"53234139";;0,742;;;;;;;;;;;;;;;;;0,258;;;;;;;;;;;"0.742 * clc_112 + 0.258 * clc_312"
"5323414";;0,124;;;;;;;;;;;;;;;;;0,876;;;;;;;;;;;"0.124 * clc_112 + 0.876 * clc_312"
"53234151";;0,2394;;;;;;;;;;;;;;;;;0,7606;;;;;;;;;;;"0.2394 * clc_112 + 0.7606 * clc_312"
"53234152";;6e-04;;;;;;;;;;;;;;;;;0,9994;;;;;;;;;;;"6e-04 * clc_112 + 0.9994 * clc_312"
"53234159";;0,2668;;;;;;;;;;;;;;;;;0,7332;;;;;;;;;;;"0.2668 * clc_112 + 0.7332 * clc_312"
"5323416";;0,0019;;;;;;;;;;;;;;;;;0,9981;;;;;;;;;;;"0.0019 * clc_112 + 0.9981 * clc_312"
"5323417";;0,232;;;;;;;;;;;;;;;;;0,768;;;;;;;;;;;"0.232 * clc_112 + 0.768 * clc_312"
"53234181";;0,0058;;;;;;;;;;;;;0,032;;;;0,9623;;;;;;;;;;;"0.0058 * clc_112 + 0.032 * clc_231 + 0.9623 * clc_312"
"53234182";;0,0888;;;;;;;;;;;;;;;;;0,9112;;;;;;;;;;;"0.0888 * clc_112 + 0.9112 * clc_312"
"53234189";;0,4503;;;;;;;;;;;;;0,443;;;;0,1067;;;;;;;;;;;"0.4503 * clc_112 + 0.443 * clc_231 + 0.1067 * clc_312"
"53234191";;0,2471;;;;;;;;;;;;;0,1158;;;;0,6371;;;;;;;;;;;"0.2471 * clc_112 + 0.1158 * clc_231 + 0.6371 * clc_312"
"53234192";;0,0381;;;;;;;;;;;;;0,0844;;;;0,8775;;;;;;;;;;;"0.0381 * clc_112 + 0.0844 * clc_231 + 0.8775 * clc_312"
"53234193";;0,5221;;;;;;;;;;;;;;;;;0,4779;;;;;;;;;;;"0.5221 * clc_112 + 0.4779 * clc_312"
"53234194";;0,2496;;;;;;;;;;;;;0,0128;;;;0,7376;;;;;;;;;;;"0.2496 * clc_112 + 0.0128 * clc_231 + 0.7376 * clc_312"
"53234199";;0,5428;;;;;;;;;;;;;;;0,1021;;0,3551;;;;;;;;;;;"0.5428 * clc_112 + 0.1021 * clc_243 + 0.3551 * clc_312"
"5323421";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53234221";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53234222";;0,0129;;;;;;;;;;;;;;;;;0,9871;;;;;;;;;;;"0.0129 * clc_112 + 0.9871 * clc_312"
"53234229";;0,3316;;;;;;;;;;;;;;;;;0,6684;;;;;;;;;;;"0.3316 * clc_112 + 0.6684 * clc_312"
"53234231";;0,0746;;;;;;;;;;;;;;;;;0,9254;;;;;;;;;;;"0.0746 * clc_112 + 0.9254 * clc_312"
"53234239";;0,2088;;;;;;;;;;;;;;;;;0,7912;;;;;;;;;;;"0.2088 * clc_112 + 0.7912 * clc_312"
"5323424";;0,0222;;;;;;;;;;;;;;;;;0,9778;;;;;;;;;;;"0.0222 * clc_112 + 0.9778 * clc_312"
"5323425";;0,3459;;;;;;;;;;;;;0,0417;;;;0,6124;;;;;;;;;;;"0.3459 * clc_112 + 0.0417 * clc_231 + 0.6124 * clc_312"
"5323426";;0,091;;;;;;;;;;;;;0,0239;;;;0,8851;;;;;;;;;;;"0.091 * clc_112 + 0.0239 * clc_231 + 0.8851 * clc_312"
"5323427";;0,3637;;;;;;;;;;;;;0,397;;;;0,2394;;;;;;;;;;;"0.3637 * clc_112 + 0.397 * clc_231 + 0.2394 * clc_312"
"532342811";;2e-04;;;;;;;;;;;;;;;;;0,9998;;;;;;;;;;;"2e-04 * clc_112 + 0.9998 * clc_312"
"5323428121";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5323428122";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5323428129";;0,0079;;;;;;;;;;;;;;;;;0,9921;;;;;;;;;;;"0.0079 * clc_112 + 0.9921 * clc_312"
"532342813";;0,3356;;;;;;;;;;;;;;;;;0,6644;;;;;;;;;;;"0.3356 * clc_112 + 0.6644 * clc_312"
"532342814";;0,0187;;;;;;;;;;;;;;;;;0,9813;;;;;;;;;;;"0.0187 * clc_112 + 0.9813 * clc_312"
"532342819";;0,4393;;;;;;;;;;;;;;;;;0,5607;;;;;;;;;;;"0.4393 * clc_112 + 0.5607 * clc_312"
"53234282";;0,2255;;;;;;;;;;;;;;;;;0,7745;;;;;;;;;;;"0.2255 * clc_112 + 0.7745 * clc_312"
"532342831";;0,2801;;;;;;;;;;;;;;;;;0,7199;;;;;;;;;;;"0.2801 * clc_112 + 0.7199 * clc_312"
"532342832";;0,5901;;;;;;;;;;;;;;;;;0,4099;;;;;;;;;;;"0.5901 * clc_112 + 0.4099 * clc_312"
"532342839";;0,813;;;;;;;;;;;;;;;0,0135;;0,1735;;;;;;;;;;;"0.813 * clc_112 + 0.0135 * clc_243 + 0.1735 * clc_312"
"53234284";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"53234289";;0,6257;;;;;;;;;;;;;0,3405;;0,0012;;0,0327;;;;;;;;;;;"0.6257 * clc_112 + 0.3405 * clc_231 + 0.0012 * clc_243 + 0.0327 * clc_312"
"5323429";;0,4534;;;;;;;;;;;;;0,4645;;;;0,0822;;;;;;;;;;;"0.4534 * clc_112 + 0.4645 * clc_231 + 0.0822 * clc_312"
