"clc_111";"clc_112";"clc_121";"clc_122";"clc_123";"clc_124";"clc_131";"clc_132";"clc_133";"clc_141";"clc_142";"clc_211";"clc_221";"clc_222";"clc_231";"clc_242";"clc_243";"clc_311";"clc_312";"clc_313";"clc_321";"clc_322";"clc_324";"clc_331";"clc_333";"clc_411";"clc_412";"clc_511";"clc_512";"expression"
"542451";;;;;;;;;;;;0,4445;;;0,5555;;;;;;;;;;;;;;;"0.4445 * clc_211 + 0.5555 * clc_231"
"542452";;0,013;;;;;;;0,0188;;;0,274;;;0,0915;;;0,0406;0,4582;0,1038;;;;;;;;;;"0.013 * clc_112 + 0.0188 * clc_133 + 0.274 * clc_211 + 0.0915 * clc_231 + 0.0406 * clc_311 + 0.4582 * clc_312 + 0.1038 * clc_313"
"542453";;0,0336;;;;;;;0,0144;;;0,5155;;;0,3286;;;;;0,1078;;;;;;;;;;"0.0336 * clc_112 + 0.0144 * clc_133 + 0.5155 * clc_211 + 0.3286 * clc_231 + 0.1078 * clc_313"
"542454";;0,0596;;;;;;;;;;0,8142;;;0,1262;;;;;;;;;;;;;;;"0.0596 * clc_112 + 0.8142 * clc_211 + 0.1262 * clc_231"
"542459";;0,0645;;;;;;;0,0028;;;0,6638;;;0,2531;;;0,0114;0;0,0044;;;;;;;;;;"0.0645 * clc_112 + 0.0028 * clc_133 + 0.6638 * clc_211 + 0.2531 * clc_231 + 0.0114 * clc_311 + 0 * clc_312 + 0.0044 * clc_313"
"542461";;0,065;;;;;;;;;;0,5138;;;0,2224;;;;0,1933;;0,0055;;;;;;;;;"0.065 * clc_112 + 0.5138 * clc_211 + 0.2224 * clc_231 + 0.1933 * clc_312 + 0.0055 * clc_321"
"542462";;0,0525;;;;;;;;;;0,6099;;;0,2364;;;;0,1012;;;;;;;;;;;"0.0525 * clc_112 + 0.6099 * clc_211 + 0.2364 * clc_231 + 0.1012 * clc_312"
"542463";;0,0528;;;;;;;;;;0,6888;;;0,2482;;;;0,0102;;;;;;;;;;;"0.0528 * clc_112 + 0.6888 * clc_211 + 0.2482 * clc_231 + 0.0102 * clc_312"
"542464";;0,0225;;;;;;;;;;0,9775;;;;;;;;;;;;;;;;;;"0.0225 * clc_112 + 0.9775 * clc_211"
"542465";;0,4356;0,0838;;;;;;;;;0,4806;;;;;;;;;;;;;;;;;;"0.4356 * clc_112 + 0.0838 * clc_121 + 0.4806 * clc_211"
"5424661";;0,0269;;;;;;;;;;0,6731;;;0,2474;;;;0,0526;;;;;;;;;;;"0.0269 * clc_112 + 0.6731 * clc_211 + 0.2474 * clc_231 + 0.0526 * clc_312"
"5424662";;;;;;;;;;;;0,3045;;;0,2048;;;0,0914;0,3993;;;;;;;;;;;"0.3045 * clc_211 + 0.2048 * clc_231 + 0.0914 * clc_311 + 0.3993 * clc_312"
"5424669";;0,1289;;;;;;;;;;0,4603;;;0,0431;;;0,2048;0,163;;;;;;;;;;;"0.1289 * clc_112 + 0.4603 * clc_211 + 0.0431 * clc_231 + 0.2048 * clc_311 + 0.163 * clc_312"
"542467";;0,0825;;;;;;;;;;0,3327;;;0,1949;;;0,1351;0,2548;;;;;;;;;;;"0.0825 * clc_112 + 0.3327 * clc_211 + 0.1949 * clc_231 + 0.1351 * clc_311 + 0.2548 * clc_312"
"542468";;0,0334;;;;;;;;;;0,9036;;;0,0192;;;0,0439;;;;;;;;;;;;"0.0334 * clc_112 + 0.9036 * clc_211 + 0.0192 * clc_231 + 0.0439 * clc_311"
"5424691";;;;;;;;;;;;0,4873;;;0,3083;;;0,1949;0,0095;;;;;;;;;;;"0.4873 * clc_211 + 0.3083 * clc_231 + 0.1949 * clc_311 + 0.0095 * clc_312"
"5424692";;0,0937;;;;;;;;;;0,7855;;;;;;0,0758;0,045;;;;;;;;;;;"0.0937 * clc_112 + 0.7855 * clc_211 + 0.0758 * clc_311 + 0.045 * clc_312"
"5424699";;;;;;;;;;;;;;;0,0041;;;0,0716;0,9243;;;;;;;;;;;"0.0041 * clc_231 + 0.0716 * clc_311 + 0.9243 * clc_312"
"542471";;0,0142;;;;;0,0325;;;;;0,634;;;0,0013;;;0,0085;0,1378;0,1718;;;;;;;;;;"0.0142 * clc_112 + 0.0325 * clc_131 + 0.634 * clc_211 + 0.0013 * clc_231 + 0.0085 * clc_311 + 0.1378 * clc_312 + 0.1718 * clc_313"
"542479";;0,0863;;;;;;;;;;0,8168;;;6e-04;;;;0,0518;0,0445;;;;;;;;;;"0.0863 * clc_112 + 0.8168 * clc_211 + 6e-04 * clc_231 + 0.0518 * clc_312 + 0.0445 * clc_313"
"54248";;0,0605;;;;;;;;;;0,7885;;;0,0312;;;2e-04;0,0774;0,0422;;;;;;;;;;"0.0605 * clc_112 + 0.7885 * clc_211 + 0.0312 * clc_231 + 2e-04 * clc_311 + 0.0774 * clc_312 + 0.0422 * clc_313"
"542491";;;;;;;;;;;;0,7396;;;0,2282;;;;0,0322;;;;;;;;;;;"0.7396 * clc_211 + 0.2282 * clc_231 + 0.0322 * clc_312"
"542492";;0,1586;;;;;;;;;;0,7949;;;0,0465;;;;;;;;;;;;;;;"0.1586 * clc_112 + 0.7949 * clc_211 + 0.0465 * clc_231"
"542493";;0,0314;;;;;;;;;;0,7223;;;0,2;;;0,0462;;;;;;;;;;;;"0.0314 * clc_112 + 0.7223 * clc_211 + 0.2 * clc_231 + 0.0462 * clc_311"
"542499";;0,0101;;;;;;;;;;0,8398;;;;;;0,1501;;;;;;;;;;;;"0.0101 * clc_112 + 0.8398 * clc_211 + 0.1501 * clc_311"
"542515";;0,084;;;;;;;;;;0,6673;;;0,1526;;;0,0961;;;;;;;;;;;;"0.084 * clc_112 + 0.6673 * clc_211 + 0.1526 * clc_231 + 0.0961 * clc_311"
"542519";;;;;;;;;;;;0,7008;;;0,0764;;;0,2227;;;;;;;;;;;;"0.7008 * clc_211 + 0.0764 * clc_231 + 0.2227 * clc_311"
"54252";;0,037;0,0257;;;;;;;;;0,7249;;;0,0799;;;0,0723;;0,0601;;;;;;;;;;"0.037 * clc_112 + 0.0257 * clc_121 + 0.7249 * clc_211 + 0.0799 * clc_231 + 0.0723 * clc_311 + 0.0601 * clc_313"
"54253";;0,118;;;;;;;;;0,0113;0,7659;;;0,0149;;;0,0899;;;;;;;;;;;;"0.118 * clc_112 + 0.0113 * clc_142 + 0.7659 * clc_211 + 0.0149 * clc_231 + 0.0899 * clc_311"
"54254";;8e-04;0,0605;;;;;;;;0,0354;0,8976;;;0,0057;;;;;;;;;;;;;;;"8e-04 * clc_112 + 0.0605 * clc_121 + 0.0354 * clc_142 + 0.8976 * clc_211 + 0.0057 * clc_231"
"542551";;0,5464;0,0015;;;;;;;;;0,3572;;;0,0801;;;0,0147;;;;;;;;;;;;"0.5464 * clc_112 + 0.0015 * clc_121 + 0.3572 * clc_211 + 0.0801 * clc_231 + 0.0147 * clc_311"
"5425521";;0,0288;0,2173;;;;;;;0,05;;0,7038;;;;;;;;;;;;;;;;;;"0.0288 * clc_112 + 0.2173 * clc_121 + 0.05 * clc_141 + 0.7038 * clc_211"
"5425529";;0,3359;;;;;;;;0,0478;;0,6163;;;;;;;;;;;;;;;;;;"0.3359 * clc_112 + 0.0478 * clc_141 + 0.6163 * clc_211"
"542559";;0,5603;0,0572;;;;;;;2e-04;0,1052;0,2675;;;0,0096;;;;;;;;;;;;;;;"0.5603 * clc_112 + 0.0572 * clc_121 + 2e-04 * clc_141 + 0.1052 * clc_142 + 0.2675 * clc_211 + 0.0096 * clc_231"
"542561";;0,998;;;;;;;;;;;;;0,002;;;;;;;;;;;;;;;"0.998 * clc_112 + 0.002 * clc_231"
"5425621";;0,0093;;;;;;;;;;0,8931;;;0,0976;;;;;;;;;;;;;;;"0.0093 * clc_112 + 0.8931 * clc_211 + 0.0976 * clc_231"
"5425622";;0,0836;;;;;;;;;;0,8533;;;0,0631;;;;;;;;;;;;;;;"0.0836 * clc_112 + 0.8533 * clc_211 + 0.0631 * clc_231"
"5425623";;;;;;;;;;;;0,9734;;;0,0266;;;;;;;;;;;;;;;"0.9734 * clc_211 + 0.0266 * clc_231"
"5425624";;;0,0771;;;;;;;;;0,8513;;;0,0653;;;;;;0,0062;;;;;;;;;"0.0771 * clc_121 + 0.8513 * clc_211 + 0.0653 * clc_231 + 0.0062 * clc_321"
"5425625";;0,0616;0,0087;;;;;;;;;0,7788;;;0,105;;;;;;0,0459;;;;;;;;;"0.0616 * clc_112 + 0.0087 * clc_121 + 0.7788 * clc_211 + 0.105 * clc_231 + 0.0459 * clc_321"
"5425626";;;;;;;;;;;;0,9989;;;0,0011;;;;;;;;;;;;;;;"0.9989 * clc_211 + 0.0011 * clc_231"
"5425629";;0,1611;;;;;;;;;;0,6238;;;0,2151;;;;;;;;;;;;;;;"0.1611 * clc_112 + 0.6238 * clc_211 + 0.2151 * clc_231"
"542569";;9e-04;;;;;;;;;;0,7702;;;0,2289;;;;;;;;;;;;;;;"9e-04 * clc_112 + 0.7702 * clc_211 + 0.2289 * clc_231"
"54257";;0,1485;;;;;;;;;;0,6624;;;0,1891;;;;;;;;;;;;;;;"0.1485 * clc_112 + 0.6624 * clc_211 + 0.1891 * clc_231"
"54258";;0,0743;;;;;;;;;;0,8707;;;0,055;;;;;;;;;;;;;;;"0.0743 * clc_112 + 0.8707 * clc_211 + 0.055 * clc_231"
"54259";;0,0887;;;;;;;;;;0,8188;;;0,0607;;;0,0318;;;;;;;;;;;;"0.0887 * clc_112 + 0.8188 * clc_211 + 0.0607 * clc_231 + 0.0318 * clc_311"
"5426111";;0,0937;;;;;;;;;;0,0817;;;0,2803;;;;0,5386;;;;0,0056;;;;;;;"0.0937 * clc_112 + 0.0817 * clc_211 + 0.2803 * clc_231 + 0.5386 * clc_312 + 0.0056 * clc_324"
"5426112";;;;;;;;;;;;0,4057;;;0,3699;;;;0,2036;0,0208;;;;;;;;;;"0.4057 * clc_211 + 0.3699 * clc_231 + 0.2036 * clc_312 + 0.0208 * clc_313"
"5426113";;0,1558;;;;;;;;;;0,544;;;0,2206;;;;0,0717;0,008;;;;;;;;;;"0.1558 * clc_112 + 0.544 * clc_211 + 0.2206 * clc_231 + 0.0717 * clc_312 + 0.008 * clc_313"
"5426114";;0,0143;;;;;;;;;;0,4395;;;0,1573;;;;0,3889;;;;;;;;;;;"0.0143 * clc_112 + 0.4395 * clc_211 + 0.1573 * clc_231 + 0.3889 * clc_312"
"5426119";;0,1163;0,0014;;;;;;;;;0,2932;;;0,4945;;;;0,0946;;;;;;;;;;;"0.1163 * clc_112 + 0.0014 * clc_121 + 0.2932 * clc_211 + 0.4945 * clc_231 + 0.0946 * clc_312"
"5426121";;;;;;;;;;;;0,0317;;;;;;;0,9235;;;;;;;0,0449;;;;"0.0317 * clc_211 + 0.9235 * clc_312 + 0.0449 * clc_411"
"5426129";;0,0568;0,0451;;;;;;;;;0,2554;;;0,2398;;;;0,387;0,0159;;;;;;0;;;;"0.0568 * clc_112 + 0.0451 * clc_121 + 0.2554 * clc_211 + 0.2398 * clc_231 + 0.387 * clc_312 + 0.0159 * clc_313 + 0 * clc_411"
"542613";;0,0915;;;;;0,0206;;;;;0,394;;;0,3149;;;;0,1791;;;;;;;;;;;"0.0915 * clc_112 + 0.0206 * clc_131 + 0.394 * clc_211 + 0.3149 * clc_231 + 0.1791 * clc_312"
"542614";;0,1316;;;;;;;;;;0,1441;;;0,1053;;;;0,6191;;;;;;;;;;;"0.1316 * clc_112 + 0.1441 * clc_211 + 0.1053 * clc_231 + 0.6191 * clc_312"
"5426151";;0,1412;;;;;;;;;;0,5308;;;0,2503;;;;0,0777;;;;;;;;;;;"0.1412 * clc_112 + 0.5308 * clc_211 + 0.2503 * clc_231 + 0.0777 * clc_312"
"5426159";;0,1542;;;;;;;;;;;;;0,8301;;;;0,0157;;;;;;;;;;;"0.1542 * clc_112 + 0.8301 * clc_231 + 0.0157 * clc_312"
"5426161";;;;;;;;;;;0,0427;0,004;;;0,0103;;;;0,943;;;;;;;;;;;"0.0427 * clc_142 + 0.004 * clc_211 + 0.0103 * clc_231 + 0.943 * clc_312"
"5426169";;0,0713;;;;;;;;;;0,2889;;;0,1865;;;;0,4533;;;;;;;;;;;"0.0713 * clc_112 + 0.2889 * clc_211 + 0.1865 * clc_231 + 0.4533 * clc_312"
"542619";;0,0039;0,0121;;;;;;;;;0,1244;;;0,6944;;;;0,06;0,1052;;;;;;;;;;"0.0039 * clc_112 + 0.0121 * clc_121 + 0.1244 * clc_211 + 0.6944 * clc_231 + 0.06 * clc_312 + 0.1052 * clc_313"
"5426211";;;;;;;;;;;;;;;;;;;0,8535;;;;0,1465;;;;;;;"0.8535 * clc_312 + 0.1465 * clc_324"
"5426219";;0,0284;;;;;;;;;;;;;0,0509;;;;0,9207;;;;;;;;;;;"0.0284 * clc_112 + 0.0509 * clc_231 + 0.9207 * clc_312"
"542622";;0,0148;;;;;;;;;;;;;0,1108;;;;0,8744;;;;;;;;;;;"0.0148 * clc_112 + 0.1108 * clc_231 + 0.8744 * clc_312"
"542623";;0,1349;;;;;;;;;;0,0173;;;0,6257;;;;0,2222;;;;;;;;;;;"0.1349 * clc_112 + 0.0173 * clc_211 + 0.6257 * clc_231 + 0.2222 * clc_312"
"5426241";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;"1 * clc_312"
"5426242";;;;;;;0;;;;;;;;0,0075;;;;0,9925;;;;;;;;;;;"0 * clc_131 + 0.0075 * clc_231 + 0.9925 * clc_312"
"5426243";;0,012;;;;;;;;;;;;;0,0023;;;;0,9856;;;;;;;;;;;"0.012 * clc_112 + 0.0023 * clc_231 + 0.9856 * clc_312"
"5426245";;;;;;;;;;;;0,005;;;0,0434;;;;0,7887;;;;;;;;;;0,1629;"0.005 * clc_211 + 0.0434 * clc_231 + 0.7887 * clc_312 + 0.1629 * clc_512"
"54262491";;;;;;;;;;;;0,2603;;;0,4382;;;;0,2666;;;;;;;;;;0,0349;"0.2603 * clc_211 + 0.4382 * clc_231 + 0.2666 * clc_312 + 0.0349 * clc_512"
"54262493";;;;;;;;;;;;0,0647;;;0,2277;;;0,0917;0,616;;;;;;;;;;;"0.0647 * clc_211 + 0.2277 * clc_231 + 0.0917 * clc_311 + 0.616 * clc_312"
"54262499";;0,1573;;;;;;;;;;0,1474;;;0,2376;;;0,2478;0,2098;;;;;;;;;;;"0.1573 * clc_112 + 0.1474 * clc_211 + 0.2376 * clc_231 + 0.2478 * clc_311 + 0.2098 * clc_312"
"5426251";;0,0948;;;;;;;;;;0,1986;;;0,5065;;;2e-04;0,1999;;;;;;;;;;;"0.0948 * clc_112 + 0.1986 * clc_211 + 0.5065 * clc_231 + 2e-04 * clc_311 + 0.1999 * clc_312"
"5426252";;0,1046;;;;;;;;;;0,1508;;;0,4248;;;;0,3198;;;;;;;;;;;"0.1046 * clc_112 + 0.1508 * clc_211 + 0.4248 * clc_231 + 0.3198 * clc_312"
"5426253";;0,1671;;;;;;;;;;0,4282;;;0,1003;;;;0,3045;;;;;;;;;;;"0.1671 * clc_112 + 0.4282 * clc_211 + 0.1003 * clc_231 + 0.3045 * clc_312"
"5426254";;0,3126;;;;;;;;;;0,6099;;;0,0771;;;;4e-04;;;;;;;;;;;"0.3126 * clc_112 + 0.6099 * clc_211 + 0.0771 * clc_231 + 4e-04 * clc_312"
"5426255";;0,1311;;;;;;;;;;0,2512;;;0,6128;;;;0,0049;;;;;;;;;;;"0.1311 * clc_112 + 0.2512 * clc_211 + 0.6128 * clc_231 + 0.0049 * clc_312"
"5426259";;0,7298;;;;;;;;;;0,1614;;;0,0587;;;;0,05;;;;;;;;;;;"0.7298 * clc_112 + 0.1614 * clc_211 + 0.0587 * clc_231 + 0.05 * clc_312"
"542629";;0,4173;0,0138;;;;;;;;;0,2499;;;0,2049;;;0,0736;0,0209;0,0197;;;;;;;;;;"0.4173 * clc_112 + 0.0138 * clc_121 + 0.2499 * clc_211 + 0.2049 * clc_231 + 0.0736 * clc_311 + 0.0209 * clc_312 + 0.0197 * clc_313"
"542631";;0,1628;0,0353;;;;;;;;;0,387;;;0,34;;;0,0016;0,0617;0,0116;;;;;;;;;;"0.1628 * clc_112 + 0.0353 * clc_121 + 0.387 * clc_211 + 0.34 * clc_231 + 0.0016 * clc_311 + 0.0617 * clc_312 + 0.0116 * clc_313"
"542632";;0,1102;;;;;;;;;;0,273;;;0,4424;;;;0,1744;;;;;;;;;;;"0.1102 * clc_112 + 0.273 * clc_211 + 0.4424 * clc_231 + 0.1744 * clc_312"
"542633";;0,082;;;;;;;;;;0,2468;;;0,2669;;;0,0223;0,3371;0,0449;;;;;;;;;;"0.082 * clc_112 + 0.2468 * clc_211 + 0.2669 * clc_231 + 0.0223 * clc_311 + 0.3371 * clc_312 + 0.0449 * clc_313"
"54263411";;0,099;;;;;0,0034;;;;0,0175;;;;0,3947;;0,0218;;0,3646;;;;0,099;;;;;;;"0.099 * clc_112 + 0.0034 * clc_131 + 0.0175 * clc_142 + 0.3947 * clc_231 + 0.0218 * clc_243 + 0.3646 * clc_312 + 0.099 * clc_324"
"54263412";;;;;;;;;;;8e-04;;;;0,352;;0,1294;;0,2164;;;;0,3014;;;;;;;"8e-04 * clc_142 + 0.352 * clc_231 + 0.1294 * clc_243 + 0.2164 * clc_312 + 0.3014 * clc_324"
"54263413";;0,0862;;;;;0,0292;;;;;;;;0,2347;;0,0903;;0,3367;0,0366;;;0,1864;;;;;;;"0.0862 * clc_112 + 0.0292 * clc_131 + 0.2347 * clc_231 + 0.0903 * clc_243 + 0.3367 * clc_312 + 0.0366 * clc_313 + 0.1864 * clc_324"
"54263414";;0,0596;;;;;;;;;;;;;0,111;;0,1517;1e-04;0,1316;;;;0,546;;;;;;;"0.0596 * clc_112 + 0.111 * clc_231 + 0.1517 * clc_243 + 1e-04 * clc_311 + 0.1316 * clc_312 + 0.546 * clc_324"
"54263415";;0,2855;;;;;;;;;;;;;0,4076;;0,1241;;0,1176;0,0651;;;;;;;;;;"0.2855 * clc_112 + 0.4076 * clc_231 + 0.1241 * clc_243 + 0.1176 * clc_312 + 0.0651 * clc_313"
"54263419";;0,0554;;;;;;;;;;;;;0,0718;;0,0638;2e-04;0,8088;;;;;;;;;;;"0.0554 * clc_112 + 0.0718 * clc_231 + 0.0638 * clc_243 + 2e-04 * clc_311 + 0.8088 * clc_312"
"5426342";;0,0033;;;;;;;;;;0,0903;;;0,0314;;0,0035;0,0463;0,706;0;;;0,1191;;;;;;;"0.0033 * clc_112 + 0.0903 * clc_211 + 0.0314 * clc_231 + 0.0035 * clc_243 + 0.0463 * clc_311 + 0.706 * clc_312 + 0 * clc_313 + 0.1191 * clc_324"
"5426343";;0,0767;0,0106;;;;;;;;;0,1872;;;0,5038;;;0,0202;0,178;0,0235;;;;;;;;;;"0.0767 * clc_112 + 0.0106 * clc_121 + 0.1872 * clc_211 + 0.5038 * clc_231 + 0.0202 * clc_311 + 0.178 * clc_312 + 0.0235 * clc_313"
"5426349";;;;;;;;;;;;0,0888;;;0,3107;;;0,0087;;0,5918;;;;;;;;;;"0.0888 * clc_211 + 0.3107 * clc_231 + 0.0087 * clc_311 + 0.5918 * clc_313"
"542639";;4e-04;;;;;;;;;;0,5001;;;0,143;;;0,064;0,2385;0,0539;;;;;;;;;;"4e-04 * clc_112 + 0.5001 * clc_211 + 0.143 * clc_231 + 0.064 * clc_311 + 0.2385 * clc_312 + 0.0539 * clc_313"
"5426419";;;;;;;;;;;;;;;;;0,1133;;0,3076;0,2575;;;0,3158;;;;;;0,0059;"0.1133 * clc_243 + 0.3076 * clc_312 + 0.2575 * clc_313 + 0.3158 * clc_324 + 0.0059 * clc_512"
"542642";;;;;;;;;;;;;;;;;0,0045;;0,5521;0,0964;;;0,3084;;;;0,0386;;;"0.0045 * clc_243 + 0.5521 * clc_312 + 0.0964 * clc_313 + 0.3084 * clc_324 + 0.0386 * clc_412"
"5426431";;;;;;;;;;;;;;;;;0,0015;;0,8801;0,0484;;;0,07;;;;;;;"0.0015 * clc_243 + 0.8801 * clc_312 + 0.0484 * clc_313 + 0.07 * clc_324"
"5426439";;;;;;;;;;;;;;;0,0018;;;;0,9982;;;;;;;;;;;"0.0018 * clc_231 + 0.9982 * clc_312"
"54264413";;0,0196;;;;;;;;;;5e-04;;;0,0547;;0,0898;;0,1987;0,0462;;;0,5848;;;;0,0056;;;"0.0196 * clc_112 + 5e-04 * clc_211 + 0.0547 * clc_231 + 0.0898 * clc_243 + 0.1987 * clc_312 + 0.0462 * clc_313 + 0.5848 * clc_324 + 0.0056 * clc_412"
"54264419";;;;;;;;;;;;0,0299;;;0,3847;;;0,2027;0,3439;;;;0,0388;;;;;;;"0.0299 * clc_211 + 0.3847 * clc_231 + 0.2027 * clc_311 + 0.3439 * clc_312 + 0.0388 * clc_324"
"54264491";;0,198;;;;;;;;;;0,0931;;;0,2023;;;0,0504;0,2698;7e-04;;;0,1856;;;;;;;"0.198 * clc_112 + 0.0931 * clc_211 + 0.2023 * clc_231 + 0.0504 * clc_311 + 0.2698 * clc_312 + 7e-04 * clc_313 + 0.1856 * clc_324"
"54264499";;0,0057;;;;;;;;;;0,1696;;;0,0908;;;;0,7339;;;;;;;;;;;"0.0057 * clc_112 + 0.1696 * clc_211 + 0.0908 * clc_231 + 0.7339 * clc_312"
"5426451";;0,0462;;;;;;;;;;0,2656;;;0,1627;;;;0,5255;;;;;;;;;;;"0.0462 * clc_112 + 0.2656 * clc_211 + 0.1627 * clc_231 + 0.5255 * clc_312"
"5426452";;;;;;;;;;;;;;;0,1071;;;;0,8819;;;;0,0109;;;;;;;"0.1071 * clc_231 + 0.8819 * clc_312 + 0.0109 * clc_324"
"5426453";;0,0495;;;;;;;;;;0,1284;;;0,2486;;;0,1747;0,3987;;;;;;;;;;;"0.0495 * clc_112 + 0.1284 * clc_211 + 0.2486 * clc_231 + 0.1747 * clc_311 + 0.3987 * clc_312"
"5426454";;0,0336;;;;;;;;;;;;;0,1957;;;0,1677;0,5862;;;;0,0168;;;;;;;"0.0336 * clc_112 + 0.1957 * clc_231 + 0.1677 * clc_311 + 0.5862 * clc_312 + 0.0168 * clc_324"
"5426459";;0,021;;;;;;;;;;0,1596;;;0,7148;;;0,0012;0,1034;;;;;;;;;;;"0.021 * clc_112 + 0.1596 * clc_211 + 0.7148 * clc_231 + 0.0012 * clc_311 + 0.1034 * clc_312"
"542646";;;;;;;;;;;;;;;0,0139;;;0,0766;0,898;0,0116;;;;;;;;;;"0.0139 * clc_231 + 0.0766 * clc_311 + 0.898 * clc_312 + 0.0116 * clc_313"
"542647";;0,0331;;;;;;;;;;0,0393;;;0,0819;;;0,1303;0,7154;;;;;;;;;;;"0.0331 * clc_112 + 0.0393 * clc_211 + 0.0819 * clc_231 + 0.1303 * clc_311 + 0.7154 * clc_312"
"542648";;0,0597;;;;;;;;;;0,3756;;;0,4316;;;;0,133;;;;;;;;;;;"0.0597 * clc_112 + 0.3756 * clc_211 + 0.4316 * clc_231 + 0.133 * clc_312"
"5426491";;0,1047;;;;;;;;;0,0021;0,2217;;;0,3696;;;0,0553;0,2466;;;;;;;;;;;"0.1047 * clc_112 + 0.0021 * clc_142 + 0.2217 * clc_211 + 0.3696 * clc_231 + 0.0553 * clc_311 + 0.2466 * clc_312"
"5426492";;0,1227;;;;;;;;;;0,3269;;;0,3132;;;;0,2372;;;;;;;;;;;"0.1227 * clc_112 + 0.3269 * clc_211 + 0.3132 * clc_231 + 0.2372 * clc_312"
"5426493";;0,2793;;;;;;;;;;0,2481;;;0,2187;;;;0,2539;;;;;;;;;;;"0.2793 * clc_112 + 0.2481 * clc_211 + 0.2187 * clc_231 + 0.2539 * clc_312"
"5426499";;0,0156;;;;;;;;;;0,6037;;;0,1942;;;;0,1778;0,0088;;;;;;;;;;"0.0156 * clc_112 + 0.6037 * clc_211 + 0.1942 * clc_231 + 0.1778 * clc_312 + 0.0088 * clc_313"
"542651";;0,1462;;;;;;;;;;0,3192;;;0,3871;;;0,0023;0,0484;0,0967;;;;;;;;;;"0.1462 * clc_112 + 0.3192 * clc_211 + 0.3871 * clc_231 + 0.0023 * clc_311 + 0.0484 * clc_312 + 0.0967 * clc_313"
"542652";;;;;;;;;;;;0,4453;;;0,0995;;;1e-04;0,4552;;;;;;;;;;;"0.4453 * clc_211 + 0.0995 * clc_231 + 1e-04 * clc_311 + 0.4552 * clc_312"
"542653";;;;;;;;;;;;;;;0,0017;;;0,5467;0,4516;;;;;;;;;;;"0.0017 * clc_231 + 0.5467 * clc_311 + 0.4516 * clc_312"
"542654";;0,0986;;;;;;;;;0,0073;0,5908;;;0,0965;;;0;0,186;0,0208;;;;;;;;;;"0.0986 * clc_112 + 0.0073 * clc_142 + 0.5908 * clc_211 + 0.0965 * clc_231 + 0 * clc_311 + 0.186 * clc_312 + 0.0208 * clc_313"
"5426551";;0,0702;;;;;;;;;;0,3485;;;0,1508;;;0,0351;0,3949;6e-04;;;;;;;;;;"0.0702 * clc_112 + 0.3485 * clc_211 + 0.1508 * clc_231 + 0.0351 * clc_311 + 0.3949 * clc_312 + 6e-04 * clc_313"
"5426559";;0,0925;0,0107;;;;;;;;;0,3112;;;0,3899;;;;0,1956;;;;;;;;;;;"0.0925 * clc_112 + 0.0107 * clc_121 + 0.3112 * clc_211 + 0.3899 * clc_231 + 0.1956 * clc_312"
"542656";;0,1354;0,0245;;;;0,0224;;;;;0,3724;;;0,3279;;;;0,1174;;;;;;;;;;;"0.1354 * clc_112 + 0.0245 * clc_121 + 0.0224 * clc_131 + 0.3724 * clc_211 + 0.3279 * clc_231 + 0.1174 * clc_312"
"542659";;0,0984;0,0057;;;;;;;;;0,2616;;;0,0756;;;0,117;0,4417;;;;;;;;;;;"0.0984 * clc_112 + 0.0057 * clc_121 + 0.2616 * clc_211 + 0.0756 * clc_231 + 0.117 * clc_311 + 0.4417 * clc_312"
"542661";;0,1281;;;;;;0,0349;;;;0,2235;;;0,2039;;;;0,4097;;;;;;;;;;;"0.1281 * clc_112 + 0.0349 * clc_132 + 0.2235 * clc_211 + 0.2039 * clc_231 + 0.4097 * clc_312"
"542662";;0,1478;;;;;;;;;;0,3429;;;0,2234;;;;0,2859;;;;;;;;;;;"0.1478 * clc_112 + 0.3429 * clc_211 + 0.2234 * clc_231 + 0.2859 * clc_312"
"542663";;0,0584;0,0103;;;;0,014;;;;;0,3403;;;0,2672;;;0,0296;0,2802;;;;;;;;;;;"0.0584 * clc_112 + 0.0103 * clc_121 + 0.014 * clc_131 + 0.3403 * clc_211 + 0.2672 * clc_231 + 0.0296 * clc_311 + 0.2802 * clc_312"
"542664";;0,228;;;;;;;;;;0,2082;;;0,3818;;;;0,182;;;;;;;;;;;"0.228 * clc_112 + 0.2082 * clc_211 + 0.3818 * clc_231 + 0.182 * clc_312"
"542665";;0,0149;;;;;;;;;;0,3326;;;0,3555;;;;0,2969;;;;;;;;;;;"0.0149 * clc_112 + 0.3326 * clc_211 + 0.3555 * clc_231 + 0.2969 * clc_312"
"542666";;0,1769;;;;;;;;;;0,3557;;;0,4265;;;;0,0409;;;;;;;;;;;"0.1769 * clc_112 + 0.3557 * clc_211 + 0.4265 * clc_231 + 0.0409 * clc_312"
"542669";;0,1447;;;;;;;;;;0,1262;;;;;;0,2077;0,5214;;;;;;;;;;;"0.1447 * clc_112 + 0.1262 * clc_211 + 0.2077 * clc_311 + 0.5214 * clc_312"
"5426711";;0,0668;0,0807;;;;;;;;;0,4194;;;0,0403;;;0,0411;0,2561;0,0955;;;;;;;;;;"0.0668 * clc_112 + 0.0807 * clc_121 + 0.4194 * clc_211 + 0.0403 * clc_231 + 0.0411 * clc_311 + 0.2561 * clc_312 + 0.0955 * clc_313"
